event_id,threshold_abs_z,entry_time,side,entry_z,entry_abs_z,settled,settle_time,exit_time,exit_reason,bars_to_settle,bars_to_exit,approx_trading_days_to_exit,entry_nifty_close,entry_sensex_close,exit_nifty_close,exit_sensex_close,max_loss_abs_rupees,max_loss_rupees,max_loss_time,max_profit_rupees,max_profit_time,max_abs_z_during_wait,max_abs_z_time,directional_worst_z_during_wait,directional_worst_z_time,gross_exit_pnl_rupees,cost_rupees,net_exit_pnl_rupees,nifty_points_at_exit,sensex_points_at_exit,nifty_qty,sensex_qty,entry_date,entry_trading_date,exit_z,exit_abs_z,calendar_minutes_to_exit
21,5.0,2022-09-16 15:06:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.040531240543584,5.040531240543584,True,2022-09-16 15:19:00,2022-09-16 15:19:00,SETTLED,13,13,0.034666666666666665,17506.4,58716.16,17527.95,58815.34,0.0,0.0,2022-09-16 15:06:00,2914.249999999538,2022-09-16 15:19:00,5.040531240543584,2022-09-16 15:06:00,-5.040531240543584,2022-09-16 15:06:00,2914.249999999538,0.0,2914.249999999538,21.549999999999272,99.17999999999302,325,100,2022-09-16,2022-09-16,0.21714426495285022,0.21714426495285022,13.0
22,5.0,2022-09-26 09:15:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.431800062368051,5.431800062368051,True,2022-09-26 09:26:00,2022-09-26 09:26:00,SETTLED,11,11,0.029333333333333333,17168.85,57561.83,17174.45,57638.93,0.0,0.0,2022-09-26 09:15:00,5889.999999999145,2022-09-26 09:26:00,5.431800062368051,2022-09-26 09:15:00,-5.431800062368051,2022-09-26 09:15:00,5889.999999999145,0.0,5889.999999999145,5.600000000002183,77.09999999999854,325,100,2022-09-26,2022-09-26,0.07528320285703406,0.07528320285703406,11.0
23,5.0,2022-10-06 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,5.213832692558455,5.213832692558455,True,2022-10-06 11:26:00,2022-10-06 11:26:00,SETTLED,131,131,0.34933333333333333,17408.75,58513.76,17358.2,58342.42,1131.250000000091,-1131.250000000091,2022-10-06 11:12:00,2451.7500000001746,2022-10-06 09:48:00,5.213832692558455,2022-10-06 09:15:00,5.213832692558455,2022-10-06 09:15:00,705.2500000006148,0.0,705.2500000006148,-50.54999999999927,-171.34000000000378,325,100,2022-10-06,2022-10-06,0.3426992141904173,0.3426992141904173,131.0
24,5.0,2022-10-13 09:15:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.069481109985925,5.069481109985925,True,2022-10-13 12:22:00,2022-10-13 12:22:00,SETTLED,187,187,0.49866666666666665,17093.2,57491.54,17016.65,57252.8,2347.2500000003492,-2347.2500000003492,2022-10-13 09:18:00,2904.9999999995634,2022-10-13 10:00:00,6.158932622533855,2022-10-13 09:16:00,-6.158932622533855,2022-10-13 09:16:00,1004.7499999999673,0.0,1004.7499999999673,-76.54999999999927,-238.73999999999796,325,100,2022-10-13,2022-10-13,-0.44805447494766637,0.44805447494766637,187.0
25,5.0,2022-10-14 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,10.231030053011398,10.231030053011398,True,2022-10-14 12:37:00,2022-10-14 12:37:00,SETTLED,202,202,0.5386666666666666,17314.15,58292.76,17320.95,58334.59,4378.750000000036,-4378.750000000036,2022-10-14 12:08:00,2134.499999999025,2022-10-14 09:18:00,10.231030053011398,2022-10-14 09:15:00,10.231030053011398,2022-10-14 09:15:00,-1972.9999999996835,0.0,-1972.9999999996835,6.799999999999272,41.82999999999447,325,100,2022-10-14,2022-10-14,0.4875628573684738,0.4875628573684738,202.0
26,5.0,2022-10-25 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,6.506363783087851,6.506363783087851,True,2022-10-25 09:44:00,2022-10-25 09:44:00,SETTLED,29,29,0.07733333333333334,17772.15,60008.45,17752.15,59862.28,0.0,0.0,2022-10-25 09:15:00,8116.999999999825,2022-10-25 09:44:00,6.506363783087851,2022-10-25 09:15:00,6.506363783087851,2022-10-25 09:15:00,8116.999999999825,0.0,8116.999999999825,-20.0,-146.16999999999825,325,100,2022-10-25,2022-10-25,0.11570402767992603,0.11570402767992603,29.0
27,5.0,2022-10-31 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,6.424352564617016,6.424352564617016,True,2022-10-31 12:41:00,2022-10-31 12:41:00,SETTLED,206,206,0.5493333333333333,17930.9,60453.49,17977.35,60629.55,5071.750000000793,-5071.750000000793,2022-10-31 12:03:00,63.74999999952706,2022-10-31 09:17:00,6.424352564617016,2022-10-31 09:15:00,6.424352564617016,2022-10-31 09:15:00,-2509.7500000014406,0.0,-2509.7500000014406,46.44999999999709,176.06000000000495,325,100,2022-10-31,2022-10-31,0.2527403958679052,0.2527403958679052,206.0
28,5.0,2022-11-01 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,6.28146330379076,6.28146330379076,True,2022-11-01 09:34:00,2022-11-01 09:34:00,SETTLED,19,19,0.050666666666666665,18113.9,61111.94,18112.15,61056.69,0.0,0.0,2022-11-01 09:15:00,4956.25,2022-11-01 09:34:00,6.28146330379076,2022-11-01 09:15:00,6.28146330379076,2022-11-01 09:15:00,4956.25,0.0,4956.25,-1.75,-55.25,325,100,2022-11-01,2022-11-01,-0.05968167680452472,0.05968167680452472,19.0
29,5.0,2022-11-11 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,9.62843974743769,9.62843974743769,True,2022-11-11 13:53:00,2022-11-11 13:53:00,SETTLED,278,278,0.7413333333333333,18265.9,61439.52,18317.35,61662.42,8862.750000001142,-8862.750000001142,2022-11-11 13:26:00,1363.2499999988795,2022-11-11 09:17:00,9.62843974743769,2022-11-11 09:15:00,9.62843974743769,2022-11-11 09:15:00,-5568.750000001091,0.0,-5568.750000001091,51.44999999999709,222.90000000000146,325,100,2022-11-11,2022-11-11,0.310114146617024,0.310114146617024,278.0
30,5.0,2022-11-17 15:12:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.041622120903286,5.041622120903286,True,2022-11-18 09:23:00,2022-11-18 09:23:00,SETTLED,26,26,0.06933333333333333,18337.1,61728.44,18342.45,61777.4,1252.9999999998836,-1252.9999999998836,2022-11-17 15:22:00,3157.2499999992033,2022-11-18 09:23:00,5.041622120903286,2022-11-17 15:12:00,-5.041622120903286,2022-11-17 15:12:00,3157.2499999992033,0.0,3157.2499999992033,5.350000000002183,48.95999999999913,325,100,2022-11-17,2022-11-17,-0.17512834346066428,0.17512834346066428,1091.0
