watch_event_id,threshold_abs_z,watch_time,watch_date,watch_trading_date,watch_z,watch_abs_z,watch_side_if_entered,entered,skip_reason,entry_time,entry_z,entry_abs_z,entry_delay_bars,extreme_time_before_entry,extreme_z_before_entry,extreme_abs_z_before_entry,scan_end_time,reversal_confirm_bars_required,reversal_delta_z_required,enable_entry_time_filter,entry_start_time,last_entry_time
28,3.0,2022-07-11 09:46:00,2022-07-11,2022-07-11,-3.1181897396857448,3.1181897396857448,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-07-11 09:50:00,-2.909312985962427,2.909312985962427,4.0,2022-07-11 09:47:00,-3.1939129018065673,3.1939129018065673,2022-07-11 09:50:00,2,0.25,True,09:30,15:15
29,3.0,2022-07-12 15:02:00,2022-07-12,2022-07-12,-3.1267194526221447,3.1267194526221447,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-07-12 15:04:00,-1.500203928837899,1.500203928837899,2.0,2022-07-12 15:02:00,-3.1267194526221447,3.1267194526221447,2022-07-12 15:04:00,2,0.25,True,09:30,15:15
30,3.0,2022-07-13 10:51:00,2022-07-13,2022-07-13,-3.0700346232335294,3.0700346232335294,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-07-13 10:53:00,-2.4803914937984803,2.4803914937984803,2.0,2022-07-13 10:51:00,-3.0700346232335294,3.0700346232335294,2022-07-13 10:53:00,2,0.25,True,09:30,15:15
31,3.0,2022-07-18 09:15:00,2022-07-18,2022-07-18,4.868931872485247,4.868931872485247,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-07-18 09:15:00,4.868931872485247,4.868931872485247,2022-07-18 09:17:00,2,0.25,True,09:30,15:15
32,3.0,2022-07-18 09:23:00,2022-07-18,2022-07-18,3.1720075348802745,3.1720075348802745,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-07-18 09:35:00,2.6575227888450055,2.6575227888450055,12.0,2022-07-18 09:25:00,3.349767314000689,3.349767314000689,2022-07-18 09:35:00,2,0.25,True,09:30,15:15
33,3.0,2022-07-18 15:20:00,2022-07-18,2022-07-18,3.7604034708294676,3.7604034708294676,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_SETTLED_BEFORE_REVERSAL,,,,,2022-07-18 15:20:00,3.7604034708294676,3.7604034708294676,2022-07-19 09:15:00,2,0.25,True,09:30,15:15
34,3.0,2022-07-19 09:53:00,2022-07-19,2022-07-19,3.1839187161233378,3.1839187161233378,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-07-19 09:55:00,1.7378396558928038,1.7378396558928038,2.0,2022-07-19 09:53:00,3.1839187161233378,3.1839187161233378,2022-07-19 09:55:00,2,0.25,True,09:30,15:15
35,3.0,2022-07-20 09:15:00,2022-07-20,2022-07-20,4.332814848727672,4.332814848727672,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-07-20 09:18:00,4.795117835774392,4.795117835774392,2022-07-20 09:20:00,2,0.25,True,09:30,15:15
36,3.0,2022-07-20 09:41:00,2022-07-20,2022-07-20,3.157407947589821,3.157407947589821,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-07-20 09:49:00,3.386667959893222,3.386667959893222,8.0,2022-07-20 09:46:00,3.7328621338319583,3.7328621338319583,2022-07-20 09:49:00,2,0.25,True,09:30,15:15
37,3.0,2022-07-21 15:29:00,2022-07-21,2022-07-21,3.139935133524408,3.139935133524408,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-07-22 09:15:00,4.081446409871477,4.081446409871477,2022-07-22 09:17:00,2,0.25,True,09:30,15:15
38,3.0,2022-07-22 09:20:00,2022-07-22,2022-07-22,3.0804346854643825,3.0804346854643825,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-07-22 09:30:00,3.04440567267264,3.04440567267264,10.0,2022-07-22 09:26:00,3.7022343907654967,3.7022343907654967,2022-07-22 09:30:00,2,0.25,True,09:30,15:15
39,3.0,2022-07-27 15:20:00,2022-07-27,2022-07-27,3.240861142462085,3.240861142462085,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-07-27 15:20:00,3.240861142462085,3.240861142462085,2022-07-27 15:22:00,2,0.25,True,09:30,15:15
40,3.0,2022-07-28 09:15:00,2022-07-28,2022-07-28,7.647517083476553,7.647517083476553,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-07-28 09:15:00,7.647517083476553,7.647517083476553,2022-07-28 09:17:00,2,0.25,True,09:30,15:15
41,3.0,2022-07-28 09:45:00,2022-07-28,2022-07-28,3.090866456625836,3.090866456625836,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-07-28 09:52:00,2.9419407191288,2.9419407191288,7.0,2022-07-28 09:48:00,3.303525671947632,3.303525671947632,2022-07-28 09:52:00,2,0.25,True,09:30,15:15
42,3.0,2022-08-01 10:38:00,2022-08-01,2022-08-01,3.1777272782624157,3.1777272782624157,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-08-01 10:40:00,2.097684330283702,2.097684330283702,2.0,2022-08-01 10:38:00,3.1777272782624157,3.1777272782624157,2022-08-01 10:40:00,2,0.25,True,09:30,15:15
43,3.0,2022-08-02 09:26:00,2022-08-02,2022-08-02,3.2812891426243507,3.2812891426243507,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-08-02 09:27:00,3.8925898726432733,3.8925898726432733,2022-08-02 09:29:00,2,0.25,True,09:30,15:15
44,3.0,2022-08-02 09:32:00,2022-08-02,2022-08-02,3.2020228945610154,3.2020228945610154,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-08-02 09:37:00,2.65088205225564,2.65088205225564,5.0,2022-08-02 09:35:00,3.4754117473235313,3.4754117473235313,2022-08-02 09:37:00,2,0.25,True,09:30,15:15
45,3.0,2022-08-03 12:39:00,2022-08-03,2022-08-03,3.0805274976745816,3.0805274976745816,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-08-03 12:45:00,2.304585750969116,2.304585750969116,6.0,2022-08-03 12:39:00,3.0805274976745816,3.0805274976745816,2022-08-03 12:45:00,2,0.25,True,09:30,15:15
